"filename", "language", "YAML", "Dart", "Markdown", "C++", "XML", "JSON", "Swift", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\home\news\viewer_news.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 0, 0, 2, 2, 180
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\home\panic_button.dart", "Dart", 0, 409, 0, 0, 0, 0, 0, 0, 0, 6, 5, 420
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\home\up_section_home.dart", "Dart", 0, 1282, 0, 0, 0, 0, 0, 0, 0, 9, 7, 1298
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\home\upcoming_events\more_upcoming_events.dart", "Dart", 0, 694, 0, 0, 0, 0, 0, 0, 0, 0, 2, 696
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\home\upcoming_events\viewer_upcoming_events.dart", "Dart", 0, 796, 0, 0, 0, 0, 0, 0, 0, 0, 2, 798
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\acad_cal.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\fdug_pack\fdug_acad_cal.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 3, 115
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\fdug_pack\fdug_jan_table.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\fdug_pack\fdug_may_table.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\fdug_pack\fdug_sept_table.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\intern_pack\intern_acad_cal.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 2, 3, 69
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\intern_pack\intern_table.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 1, 3, 113
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\pg_pack\pg_acad_cal.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 3, 3, 92
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\pg_pack\pg_jan_table.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\pg_pack\pg_jul_table.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 3, 145
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\academic_calendar\public_holiday.dart", "Dart", 0, 220, 0, 0, 0, 0, 0, 0, 0, 1, 3, 224
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ai_test_kitchen\ai_test_kitchen_landing.dart", "Dart", 0, 358, 0, 0, 0, 0, 0, 0, 0, 3, 2, 363
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ai_test_kitchen\chat_input_box.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 4, 4, 79
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ai_test_kitchen\notebook_lm.dart", "Dart", 0, 192, 0, 0, 0, 0, 0, 0, 0, 1, 2, 195
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ai_test_kitchen\utp_assist.dart", "Dart", 0, 226, 0, 0, 0, 0, 0, 0, 0, 8, 10, 244
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\ai_test_kitchen\utp_assist_v2.dart", "Dart", 0, 254, 0, 0, 0, 0, 0, 0, 0, 6, 14, 274
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\attendance\attendance.dart", "Dart", 0, 329, 0, 0, 0, 0, 0, 0, 0, 3, 3, 335
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\attendance\attendance_confirmation.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 3, 3, 100
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\attendance\attendance_search.dart", "Dart", 0, 905, 0, 0, 0, 0, 0, 0, 0, 1, 7, 913
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\digital_id\digital_id.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\digital_id\lmg_pass.dart", "Dart", 0, 289, 0, 0, 0, 0, 0, 0, 0, 1, 4, 294
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\digital_id\student_id.dart", "Dart", 0, 287, 0, 0, 0, 0, 0, 0, 0, 1, 4, 292
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\directory\directory.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\directory\directory_viewer.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 2, 47
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\e_memo\e_memo.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 3, 62
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\e_memo\new_request_services\new_request.dart", "Dart", 0, 683, 0, 0, 0, 0, 0, 0, 0, 16, 17, 716
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\exemption\exemption.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\exemption\exemption_approved.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 3, 45
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\exemption\exemption_myrequest.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 3, 45
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\exemption\exemption_newsubmit.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 2, 61
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\exemption\exemption_viewer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\facility\facility.dart", "Dart", 0, 145, 0, 0, 0, 0, 0, 0, 0, 2, 3, 150
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\iAttend\iattend.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 3, 51
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\iAttend\iattend_myevent.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 3, 79
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\iAttend\iattend_myevent_viewer.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 3, 79
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\iAttend\iattend_mystats.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\mini_app.dart", "Dart", 0, 1957, 0, 0, 0, 0, 0, 0, 0, 28, 13, 1998
"c:\Users\haqim\Project\Flutter\utpinme\lib\pages\mini_app\postalhub\postal_hub.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 2, 48
